catalogue,source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,dist,dist_error,rv,rv_error,teff,teff_error,logg,logg_error,feh,feh_error,Gmag
placco,5490389769744376960,107.8814808,0.0552,-55.22400403,0.0544,1.516,0.078,0.749,0.066,45.70881896,9.141763792,317.85,2,4718,100,1.57,0.2,-3.1,0.14,17.295477
placco,5491209253801516288,108.0622891,0.0407,-54.37432754,0.0416,1.387,0.056,1.1,0.053,46.77351413,9.354702826,328.61,2,4502,100,1.12,0.2,-3.15,0.19,16.427599
placco,5293243525250093312,109.2761994,0.0534,-60.31907474,0.0478,0.877,0.072,1.452,0.056,50.11872336,10.02374467,341.5,2,4652,100,1.39,0.2,-3.31,0.16,17.114506
limberg,5262850721755411072,108.9108723,0.017,-73.58141694,0.0163,3.767,0.022,2.627,0.022,26.1,1.6,428.7,2,4700,100,1.1,0.25,-4.3,0.12,14.994659
chandra,6611869850296545024,333.0585931,0.0634,-33.88330217,0.0514,0.309,0.087,-1.419,0.063,64,5,-139.0909327,1.12,,,,,-2.45,0.05,17.1437
chandra,6619464348908375808,329.9134934,0.0737,-27.4991167,0.0638,0.023,0.112,-1.149,0.082,80,6,-132.1879878,1.12,,,,,-2.25,0.04,17.591415
chandra,6465479360347429888,321.9047309,0.0512,-51.33589806,0.0473,-0.098,0.073,-1.492,0.063,71,6,-109.8332505,1.12,,,,,-1.99,0.05,17.169697
chandra,6568195388720305280,333.3110295,0.0562,-42.98635541,0.0673,0.086,0.063,-1.264,0.089,72,6,-131.5003266,1.12,,,,,-1.87,0.05,17.391918
chandra,6544712569129986944,340.8974811,0.0701,-41.18517699,0.0901,0.341,0.102,-1.299,0.121,70,6,-162.8119878,1.12,,,,,-1.84,0.06,17.517494
chandra,6477086664083654528,316.1876991,0.0527,-51.15244046,0.0424,-0.256,0.064,-1.678,0.052,71,7,-126.4996307,1.12,,,,,-1.73,0.04,17.158684
chandra,2633051523542392320,353.0677859,0.0784,-4.945894298,0.0798,0.432,0.101,-0.847,0.089,107,5,-187.2627366,1.12,,,,,-1.2,0.02,17.587212
chandra,2601407505880573696,339.0547076,0.1175,-12.89394409,0.1061,-0.013,0.153,-0.707,0.138,105,6,-189.1209426,1.12,,,,,-1.19,0.03,17.738136
chandra,6495806880338282496,353.058901,0.0334,-56.3742308,0.0381,0.596,0.045,-1.474,0.048,80,3,-57.00983413,1.12,,,,,-0.8,0.02,16.802738
chandra,2392166457384504320,354.2650792,0.0996,-19.37406634,0.0983,0.417,0.131,-0.87,0.116,113,6,-228.3609699,1.12,,,,,-0.71,0.03,17.905415
chandra,2311053770911989504,359.3778862,0.0429,-36.24547123,0.0455,0.551,0.045,-0.975,0.054,79,1,-160.2279729,1.12,,,,,-0.64,0.01,16.69982
chandra,2661637550258741376,346.0393984,0.1085,2.602284162,0.0984,0.346,0.127,-0.598,0.113,84,7,-323.859415,1.12,,,,,-0.64,0.03,17.709782
chandra,6499025043497382272,349.8811295,0.0534,-55.86037757,0.0642,0.505,0.073,-1.068,0.088,61,8,-44.23698032,1.12,,,,,-0.51,0.04,17.850151
viswanathan,1778940377006813184,328.8992961,0.0569,17.20120462,0.0496,-0.156,0.093,-1.581,0.068,45.92,1.82,-338.9522242,0.08944616398,4834,95,1.25,0.08,-2.25,0.11,16.684944
viswanathan,4685355019774317056,7.73424754,0.0418,-74.48526491,0.0415,0.883,0.056,-1.505,0.059,46.45,2.06,125.5992086,0.07612240399,4908,107,1.39,0.09,-2.29,0.09,16.842688
viswanathan,4685608835179303808,14.83589229,0.0363,-74.16513938,0.0282,0.724,0.045,-1.305,0.039,46.68,1.54,166.999547,0.191882386,4656,82,0.95,0.08,-2.93,0.03,16.050652
viswanathan,6408854408437947008,329.6135766,0.0357,-61.95921271,0.043,0.046,0.044,-2.408,0.055,47.83,3.23,-16.18427084,0.0266922896,4970,103,1.56,0.11,-2.57,0.14,17.170235
viswanathan,6491278576058838400,344.079224,0.0227,-59.73389896,0.0245,0.834,0.028,-1.386,0.034,58.3,2,241.2874393,0.294134158,4491,71,0.69,0.08,-2.91,0.02,16.02207
viswanathan,6810913576984559360,324.4601874,0.0412,-27.15268949,0.0353,-0.258,0.05,-1.934,0.042,54.04,1.53,-321.3471641,0.1854952842,4531,80,0.73,0.07,-1.58,0.35,15.962733
viswanathan,6902720706255633664,312.9845134,0.0506,-9.38589013,0.0307,-0.159,0.072,-1.733,0.055,48.58,1.92,-286.7869255,0.185106238,4852,102,1.26,0.09,-2.51,0.17,16.860083
viswanathan,4690941913230909184,17.64815938,0.0467,-70.53982716,0.0403,1.012,0.057,-1.357,0.05,39.91,2,156.98257,0.1238881267,4985,111,1.58,0.09,-2.58,0.09,16.82816
viswanathan,6500075906032035200,347.8544599,0.0221,-54.06449932,0.0261,0.883,0.032,-1.42,0.033,58.95,1.75,219.7713019,0.4833828727,4562,85,0.79,0.08,-3.02,0.02,16.208439
viswanathan,6545400279293019008,339.12807,0.0591,-40.5054762,0.0584,0.006,0.08,-2.348,0.072,45.49,2.07,-155.4287736,0.1490991669,5020,102,1.62,0.08,-2.29,0.3,17.174318